City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
121,Xingyi,CN,68.41,overcast clouds,24.1877,102.817,
122,Goderich,CA,68.92,clear sky,43.7501,-81.7165,Harmony Inn
124,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
125,Marrakesh,MA,82.47,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
126,Linjiang,CN,89.64,scattered clouds,41.8069,126.9078,格林豪泰
129,Buala,SB,85.17,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
130,Samarai,PG,80.02,scattered clouds,-10.6167,150.6667,Nuli Sapi
131,Tomohon,ID,81.54,few clouds,1.3346,124.8392,Gardenia Country Inn
132,Seydi,TM,79.03,clear sky,39.4816,62.9137,Seydi oteli
133,Aden,YE,82.02,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
135,Faanui,PF,78.08,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Camopi,GF,71.22,few clouds,3.1655,-52.3158,
138,Leh,IN,60.91,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
139,Yalvac,TR,62.62,clear sky,38.2956,31.1778,Yalvac Ogretmenevi
140,Asau,RO,67.75,clear sky,46.4333,26.4,Casa Mika Ciobanus
141,Adrar,MR,86.4,scattered clouds,20.5022,-10.0711,
142,Marzuq,YE,76.8,overcast clouds,14.4,46.4667,
144,Airai,TL,75.51,clear sky,-8.9266,125.4092,Juvinal Martin
145,Matara,LK,80.4,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
146,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
147,Colgong,IN,79.65,overcast clouds,25.2667,87.2167,Hotel Sachin
148,Geraldton,AU,64.13,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
149,Baykit,RU,62.55,overcast clouds,61.67,96.37,
151,Jumla,NP,63.97,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
152,Ahipara,NZ,62.28,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
153,Ahuimanu,US,89.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
154,Yangambi,CD,70.97,broken clouds,0.8102,24.4336,
155,Minot,US,82.62,smoke,48.2325,-101.2963,Noble Inn
156,Sambava,MG,67.84,light rain,-14.2667,50.1667,Melrose
157,Mongoumba,CF,73.94,overcast clouds,3.6415,18.5936,
158,Pucallpa,PE,64.44,broken clouds,-8.3791,-74.5539,Hospedaje Komby
159,Pisco,PE,63.01,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
160,Surt,LY,80.28,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
161,Namibe,AO,63.7,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
162,Torbay,CA,60.28,clear sky,47.6666,-52.7314,Gallows Cove
163,Carutapera,BR,75.47,scattered clouds,-1.195,-46.02,Lidera
165,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
166,Palmer,US,71.2,overcast clouds,42.1584,-72.3287,Wedgewood Motel
167,Marakkanam,IN,84.61,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
168,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
169,Elat,IL,81.68,clear sky,29.5581,34.9482,Club Hotel Eilat
171,Harper,LR,75.52,overcast clouds,4.375,-7.7169,Screensaver
173,Kysyl-Syr,RU,74.68,broken clouds,63.8986,122.7617,
174,Slavutych,UA,63.34,few clouds,51.5196,30.7343,Славутич отель
176,Kilindoni,TZ,75.6,clear sky,-7.9139,39.6668,Bustani B&B
177,Jackson,US,87.67,few clouds,42.4165,-122.8345,Agate Village Apartments
178,Tadine,NC,75.25,clear sky,-21.55,167.8833,
180,Alihe,CN,79.0,clear sky,50.5667,123.7167,Alihe Forestry Hotel
181,Wagar,SD,81.43,overcast clouds,16.1525,36.2032,
183,Ambovombe,MG,63.37,clear sky,-25.1667,46.0833,RELAHARA
184,Gainesville,US,79.09,broken clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
185,Huehuetan,MX,73.74,overcast clouds,15.0167,-92.3667,Plenque
188,Zhigansk,RU,68.4,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
189,Naze,JP,85.12,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
190,Gamba,GA,73.81,overcast clouds,-2.65,10.0,
191,Esso,RU,66.43,overcast clouds,55.9333,158.7,Paramushir Tur
193,Aklavik,CA,67.03,overcast clouds,68.2191,-135.0107,Aklavik Inn
194,Korostyshiv,UA,62.91,clear sky,50.3172,29.0563,Эдем
197,Lagoa,PT,69.64,clear sky,39.05,-27.9833,Casa Das Faias
198,Conde,BR,72.86,few clouds,-7.2597,-34.9075,Pousada Beija Flor
199,Talara,PE,66.49,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
200,Ambilobe,MG,62.53,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
203,Bundaberg,AU,71.89,scattered clouds,-24.85,152.35,Takalvan Motel
205,Kavieng,PG,83.84,light rain,-2.5744,150.7967,Nusa Island Retreat
206,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
210,Huntington,US,80.31,mist,38.4193,-82.4452,Ramada Limited Huntington
213,Bayan,CN,79.0,overcast clouds,46.0833,127.4,Wanhao Inn
214,Aubenas,FR,68.47,moderate rain,44.6201,4.3899,ibis Aubenas
219,Seeboden,AT,65.53,scattered clouds,46.8219,13.495,Familiengasthof St. Wolfgang
220,Lisala,CD,73.38,overcast clouds,2.15,21.5167,
221,Lodja,CD,68.23,scattered clouds,-3.4833,23.4333,
223,Jalu,LY,78.76,clear sky,29.0331,21.5482,صاحبة الفخامة
224,Bonavista,CA,61.12,few clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
225,Uhlove,UA,74.14,clear sky,44.8215,33.6045,Tavryda
226,Mongo,TD,70.66,moderate rain,12.1844,18.693,Résidences du Programme FIDA
227,Morondava,MG,69.42,scattered clouds,-20.2833,44.2833,La Case Bambou
228,Ler,SS,71.29,overcast clouds,8.3018,30.1418,
229,Vao,NC,71.35,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
231,Biak,ID,82.6,broken clouds,-0.9131,122.8766,Penginapan Kim
233,Avera,US,88.72,clear sky,33.194,-82.5271,
234,Kushima,JP,89.11,broken clouds,31.4583,131.2333,Hanaoka
237,Antalaha,MG,68.34,light rain,-14.9003,50.2788,Hotel Vitasoa
238,Aloleng,PH,82.67,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
239,Petropavlovsk-Kamchatskiy,RU,66.79,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
241,Gujan-Mestras,FR,66.67,overcast clouds,44.6333,-1.0667,Hôtel La Baie Des Landes
242,Kavaratti,IN,82.33,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
243,Yerbogachen,RU,73.83,clear sky,61.2767,108.0108,
244,Yulara,AU,69.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
246,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
247,Korhogo,CI,68.25,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
