City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Provideniya,64.3833,-173.3,51.91,76,75,15.66,RU,2021-07-30 01:37:35,broken clouds
60,Tazovskiy,67.4667,78.7,54.57,88,72,13.78,RU,2021-07-30 01:37:35,broken clouds
61,Jamestown,42.097,-79.2353,74.52,83,40,5.57,US,2021-07-30 01:37:36,scattered clouds
62,Hasaki,35.7333,140.8333,84.6,77,19,8.66,JP,2021-07-30 01:37:36,few clouds
63,Dukat,62.55,155.55,35.46,89,100,6.13,RU,2021-07-30 01:37:36,light rain
64,Kyren,51.6828,102.1408,55.67,97,100,0.58,RU,2021-07-30 01:37:37,light rain
65,Butaritari,3.0707,172.7902,83.7,71,11,12.08,KI,2021-07-30 01:34:28,few clouds
66,Narsaq,60.9167,-46.05,48.42,87,100,2.35,GL,2021-07-30 01:37:30,overcast clouds
67,Busselton,-33.65,115.3333,51.04,72,92,27.04,AU,2021-07-30 01:37:37,overcast clouds
68,Matara,5.9485,80.5353,80.4,84,32,12.28,LK,2021-07-30 01:37:37,scattered clouds
69,Paamiut,61.994,-49.6678,43.43,87,100,3.27,GL,2021-07-30 01:34:06,overcast clouds
70,Beira,-19.8436,34.8389,59.09,100,0,5.75,MZ,2021-07-30 01:37:38,clear sky
71,Broome,42.2506,-75.833,70.61,94,75,1.01,US,2021-07-30 01:36:38,broken clouds
72,Atar,20.5169,-13.0499,83.21,45,56,8.1,MR,2021-07-30 01:37:38,broken clouds
73,Cherskiy,68.75,161.3,37.78,64,100,20.58,RU,2021-07-30 01:37:31,overcast clouds
74,Romitan,39.9343,64.3814,73.35,33,0,11.5,UZ,2021-07-30 01:37:38,clear sky
75,Mitsamiouli,-11.3847,43.2844,75.47,71,7,8.68,KM,2021-07-30 01:37:39,light rain
76,Yatou,37.15,122.3833,80.19,80,91,18.61,CN,2021-07-30 01:37:39,light rain
77,Lapas,38.1,21.4167,82.2,64,0,0.0,GR,2021-07-30 01:37:39,clear sky
78,Hithadhoo,-0.6,73.0833,82.36,70,99,2.86,MV,2021-07-30 01:37:39,overcast clouds
79,Sayyan,15.1718,44.3244,64.15,61,51,3.18,YE,2021-07-30 01:37:40,broken clouds
80,Georgetown,5.4112,100.3354,80.53,83,20,4.61,MY,2021-07-30 01:37:31,few clouds
81,Avarua,-21.2078,-159.775,77.05,61,75,8.05,CK,2021-07-30 01:37:40,broken clouds
82,Alugan,12.2188,125.4808,89.71,58,96,5.86,PH,2021-07-30 01:37:41,overcast clouds
83,Taltal,-25.4,-70.4833,62.04,53,0,4.68,CL,2021-07-30 01:37:41,clear sky
84,Longyearbyen,78.2186,15.6401,42.64,81,75,3.44,SJ,2021-07-30 01:37:41,light rain
85,Soligalich,59.0778,42.2864,57.76,98,14,4.94,RU,2021-07-30 01:37:42,few clouds
86,Natal,-5.795,-35.2094,79.02,83,20,8.05,BR,2021-07-30 01:37:42,few clouds
87,Lagos,6.5833,3.75,77.32,89,32,3.91,NG,2021-07-30 01:37:17,scattered clouds
88,Amudalavalasa,18.4167,83.9,79.3,77,100,4.61,IN,2021-07-30 01:37:42,overcast clouds
89,Dunedin,-45.8742,170.5036,48.79,87,64,17.0,NZ,2021-07-30 01:37:43,broken clouds
90,Sola,-13.8833,167.55,79.65,77,82,4.12,VU,2021-07-30 01:37:43,light rain
91,Dayong,25.0209,118.2898,89.28,68,100,1.59,CN,2021-07-30 01:37:43,light rain
92,Yellowknife,62.456,-114.3525,72.12,43,40,8.05,CA,2021-07-30 01:37:44,scattered clouds
93,Sosnovo-Ozerskoye,52.5249,111.5418,66.78,63,100,13.35,RU,2021-07-30 01:37:44,overcast clouds
94,Zhoucheng,35.9122,116.3117,78.89,76,27,8.37,CN,2021-07-30 01:37:44,scattered clouds
95,Lokomotivnyy,53.0118,60.5684,60.75,50,100,11.32,RU,2021-07-30 01:37:45,overcast clouds
96,Arman,59.7,150.1667,59.63,44,2,16.31,RU,2021-07-30 01:37:45,clear sky
97,Kodiak,57.79,-152.4072,56.71,67,90,4.61,US,2021-07-30 01:33:17,overcast clouds
98,Cidreira,-30.1811,-50.2056,45.09,72,12,9.22,BR,2021-07-30 01:33:22,few clouds
99,Khani,41.9563,42.9566,58.57,88,15,4.47,GE,2021-07-30 01:37:46,few clouds
100,Acapulco,16.8634,-99.8901,85.82,66,75,4.61,MX,2021-07-30 01:37:24,broken clouds
101,Sibolga,1.7427,98.7792,81.36,71,100,0.4,ID,2021-07-30 01:37:46,overcast clouds
102,Upernavik,72.7868,-56.1549,45.18,87,99,4.38,GL,2021-07-30 01:34:31,overcast clouds
103,Ron,15.6667,75.7333,73.0,82,99,16.13,IN,2021-07-30 01:37:46,overcast clouds
104,Pittsburg,38.028,-121.8847,101.03,32,1,4.0,US,2021-07-30 01:36:22,clear sky
105,Berlevag,70.8578,29.0864,44.24,84,100,3.69,NO,2021-07-30 01:33:59,overcast clouds
106,Poya,-21.35,165.15,76.35,57,6,11.61,NC,2021-07-30 01:37:47,clear sky
107,Totskoye,52.5248,52.7623,69.15,54,98,5.32,RU,2021-07-30 01:37:47,light rain
108,Airai,-8.9266,125.4092,75.51,32,5,3.85,TL,2021-07-30 01:37:48,clear sky
109,Itaituba,-4.2761,-55.9836,78.06,45,54,1.9,BR,2021-07-30 01:37:48,broken clouds
110,Asyut,27.181,31.1837,80.78,25,95,5.28,EG,2021-07-30 01:37:49,overcast clouds
111,Ulladulla,-35.35,150.4667,62.87,33,0,2.33,AU,2021-07-30 01:34:32,clear sky
112,Saint-Philippe,-21.3585,55.7679,67.59,84,96,15.59,RE,2021-07-30 01:37:34,light rain
113,Nanning,22.8167,108.3167,84.65,73,100,4.03,CN,2021-07-30 01:37:49,overcast clouds
114,Eregli,37.5133,34.0467,61.47,48,0,1.03,TR,2021-07-30 01:37:50,clear sky
115,Sitka,57.0531,-135.33,69.69,64,20,4.61,US,2021-07-30 01:24:45,few clouds
116,Eureka,40.8021,-124.1637,65.19,74,44,3.0,US,2021-07-30 01:34:01,scattered clouds
117,Dingle,10.9995,122.6711,87.48,65,60,13.22,PH,2021-07-30 01:37:50,broken clouds
118,Avera,33.194,-82.5271,89.47,57,5,6.49,US,2021-07-30 01:35:03,clear sky
119,Lebu,-37.6167,-73.65,48.56,84,0,5.37,CL,2021-07-30 01:37:51,clear sky
120,Tevriz,57.509,72.4042,53.2,92,94,6.44,RU,2021-07-30 01:37:51,overcast clouds
121,Samarai,-10.6167,150.6667,80.02,85,50,14.29,PG,2021-07-30 01:37:51,scattered clouds
122,Verkhoyansk,67.5447,133.385,67.03,32,18,0.31,RU,2021-07-30 01:37:52,few clouds
123,Fortuna,40.5982,-124.1573,63.93,79,1,1.99,US,2021-07-30 01:37:52,clear sky
124,Guanica,17.9716,-66.908,82.22,81,95,5.99,PR,2021-07-30 01:37:52,overcast clouds
125,Chuy,-33.6971,-53.4616,40.93,86,9,5.68,UY,2021-07-30 01:33:58,clear sky
126,Santiago,-33.4569,-70.6483,58.86,37,0,5.75,CL,2021-07-30 01:33:59,clear sky
127,Mweka,-4.85,21.5667,65.86,44,9,1.34,CD,2021-07-30 01:37:53,clear sky
128,Podyuga,61.095,40.8647,56.12,99,68,4.45,RU,2021-07-30 01:37:53,broken clouds
129,Torbay,47.6666,-52.7314,60.58,81,1,16.11,CA,2021-07-30 01:34:20,clear sky
130,Babayurt,43.6002,46.7789,66.27,78,0,7.16,RU,2021-07-30 01:37:54,clear sky
131,Mormugao,15.4,73.8,79.86,100,75,11.5,IN,2021-07-30 01:37:54,broken clouds
132,Qaanaaq,77.484,-69.3632,39.72,88,69,7.58,GL,2021-07-30 01:37:54,broken clouds
133,Navsari,20.9524,72.9324,82.29,87,100,18.28,IN,2021-07-30 01:37:55,overcast clouds
134,Nicoya,10.1483,-85.452,83.75,88,54,2.75,CR,2021-07-30 01:37:55,broken clouds
